,ec2-us-east,ec2-oregon,ec2-california,ec2-europe,ec2-singapore,ec2-tokyo,ec2-sao-paulo,azure-east-asia,azure-east-us,azure-north-europe,azure-southeast-asia,azure-west-europe,azure-west-us
ec2-us-east,0,202,99,100,250,200,159,275,25,133,305,125,110
ec2-oregon,88,0,25,175,161,150,218,205,110,145,210,150,61
ec2-california,78,25,0,155,166,120,201,199,101,144,205,138,55
ec2-europe,100,166,141,0,353,270,245,360,101,53,400,83,133
ec2-singapore,251,200,233,273,0,115,395,120,222,240,133,222,233
ec2-tokyo,188,128,141,279,165,0,290,190,200,192,175,195,140
ec2-sao-paulo,150,207,200,251,400,288,0,300,125,205,400,210,220
azure-east-asia,370,301,305,388,111,153,405,0,215,310,30,300,165
azure-east-us,44,122,110,95,233,220,278,210,0,95,220,103,75
azure-north-europe,105,174,175,102,359,309,310,300,100,0,315,40,150
azure-southeast-asia,365,309,309,377,99,163,391,32,250,322,0,318,200
azure-west-europe,111,175,180,98,380,330,305,300,100,50,320,0,160
azure-west-us,99,55,33,110,218,180,220,173,80,105,200,105,0
